TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
51.19778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.0977306,1.705042,0.1385456,10.37564,335.7936,2.024586,-0.1750473,1.181479,0.3732047,345.2974,340.4261,345.6837,False,False
51.20889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.09965736,1.706593,0.1372282,9.859661,336.9139,1.776245,-0.1744106,1.188588,0.3735566,344.0536,341.9573,346.6325,False,False
51.22,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1016545,1.708254,0.1358841,9.381032,338.0382,1.514193,-0.1746104,1.194499,0.373636,342.9437,343.2328,348.2131,False,False
51.23111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1036517,1.709813,0.1345518,8.885732,339.1363,1.274251,-0.174969,1.200427,0.3730001,341.9151,344.3398,349.5954,False,False
51.24222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.10569,1.711425,0.1331244,8.37619,340.1949,1.034979,-0.1748589,1.204205,0.3727832,341.567,345.1333,350.7589,False,False
51.25333,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1078019,1.712932,0.1316776,7.826625,341.2396,0.7542124,-0.1746093,1.208873,0.3723698,341.0415,346.1688,351.1849,False,False
51.26445,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1099312,1.714517,0.1302639,7.307467,342.2887,0.4584241,-0.1738609,1.212625,0.3721368,340.8329,347.1565,351.0528,False,False
51.27556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1121747,1.716009,0.1289193,6.731438,343.3507,0.1590969,-0.1731747,1.216496,0.3720231,340.516,348.1952,351.1785,False,False
51.28667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1144349,1.717493,0.1276422,6.115742,344.4094,359.9071,-0.1748072,1.220015,0.3697267,340.0298,349.1909,351.7742,False,False
51.29778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1166303,1.718843,0.1264436,5.484812,345.4575,359.6432,-0.1737534,1.223315,0.3683136,339.2078,350.2045,353.0935,False,False
51.30889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1189547,1.72026,0.1251484,4.881394,346.5081,359.3805,-0.1728039,1.226567,0.3667116,338.4719,351.1216,354.6771,False,False
51.32,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1213977,1.721517,0.1238996,4.263576,347.5512,359.1143,-0.1718038,1.22888,0.3651154,338.15,351.8477,355.9333,False,False
51.33111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1237866,1.722777,0.1227766,3.651699,348.5846,358.8443,-0.1710355,1.230425,0.3640661,337.6817,352.3433,357.1933,False,False
51.34222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1262444,1.723897,0.1217105,2.997179,349.6395,358.544,-0.1701699,1.232476,0.362639,337.0474,352.9851,358.0701,False,False
51.35334,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1287168,1.725012,0.1207187,2.362483,350.7005,358.217,-0.168687,1.233843,0.3614058,336.276,353.702,358.3197,False,False
51.36444,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1311821,1.726033,0.1198553,1.750158,351.7958,357.8506,-0.1666979,1.235423,0.3599486,335.5676,354.6457,358.2585,False,False
51.37556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1336501,1.726995,0.119097,1.148481,352.9023,357.4889,-0.1645464,1.236971,0.358952,335.2711,355.5176,358.2007,False,False
